"corpus","preloaded/detenten20_rft3"
"subcorpus","-"
Item,Frequency
"und",484775781
"der",462189573
"die",446032011
"in",261092951
"den",179826541
"zu",169908607
"ist",166376400
"von",166229712
"mit",164530532
"das",163207385
"für",131851862
"auf",127062297
"nicht",125275609
"im",116630456
"sich",115886310
"ein",112303783
"auch",109669457
"des",104548687
"eine",103290755
"es",101465125
"dem",99636267
"Die",95373086
"ich",91949696
"an",78164602
"als",75582584
"werden",68987726
"oder",66215667
"bei",65756253
"sind",64795803
"aus",64008750
"dass",61002821
"sie",59627285
"Sie",59313959
"wird",57527845
"wie",55341495
"hat",53960131
"nach",52258006
"noch",51257060
"einen",50740739
"so",50168377
"einer",49816308
"aber",48619308
"er",48422195
"Das",48252318
"man",47148106
"nur",46289496
"um",46166317
"Der",45458448
"am",45263058
"zum",44805895
"einem",44787812
"kann",43964561
"über",42535288
"war",42103406
"wir",39290887
"haben",38364828
"durch",35442185
"zur",35341028
"mehr",33869665
"vor",33653115
"dann",32390810
"Ich",32341858
"wurde",32284322
"wenn",30950411
"bis",30380151
"können",29832893
"sein",29009848
"schon",27367688
"was",27108569
"In",25508782
"wieder",24882417
"sehr",24594878
"habe",24469909
"Es",24367781
"da",24319197
"mir",23796131
"immer",23254664
"vom",22771309
"diese",22744530
"hier",21542072
"uns",21175238
"gibt",20926445
"unter",20388364
"mal",19792015
"mich",19627507
"dieser",18869878
"du",18664847
"alle",18558946
"keine",17863170
"1",17824869
"Und",17575816
"Im",17200341
"hatte",17054099
"2",17034569
"ja",16928296
"eines",16683313
"ihr",16251904
"Wir",16236449
"gut",15946581
"Ein",15480035
"muss",15341748
"Zeit",14977935
"ihre",14867188
"beim",14797647
"doch",14687870
"sowie",14633125
"seine",14616941
"gegen",14425297
"Mit",14423167
"etwas",14269144
"ab",13796644
"ganz",13705372
"jetzt",13479820
"diesem",13418119
"zwei",13401479
"anderen",13388657
"damit",13327216
"ohne",13194872
"viel",13013830
"Jahr",12985271
"geht",12936004
"Wenn",12715926
"wurden",12679811
"Jahren",12479565
"Menschen",12450562
"Bei",12177827
"selbst",12136362
"nun",12114671
"Auch",12042126
"Er",12005201
"waren",11980474
"einfach",11809668
"3",11781814
"soll",11705396
"zwischen",11636258
"machen",11608408
"sondern",11526982
"also",11434059
"Aber",11339143
"alles",11322779
"seiner",11284774
"Eine",11098860
"Für",11044394
"neue",10816405
"viele",10747903
"bereits",10738578
"Jahre",10672942
"seit",10567942
"bin",10529587
"So",10516851
"denn",10450129
"weil",10392157
"sollte",10370832
"ersten",10337313
"ob",10188658
"Wie",10069839
"andere",10040384
"dabei",10003035
"lassen",9968601
"Nach",9734195
"Du",9724066
"kommt",9642037
"Diese",9552533
"müssen",9518661
"würde",9509944
"dieses",9503439
"heute",9440134
"ihn",9316811
"sei",9283971
"Da",9095886
"ihrer",9029664
"weiter",9014214
"neuen",9002352
"kein",8943605
"finden",8940090
"Was",8886838
"dazu",8831638
"Uhr",8720314
"ihm",8702678
"wo",8665752
"jedoch",8645594
"meine",8631506
"seinen",8580925
"drei",8503246
"4",8462481
"ihren",8461701
"Als",8444012
"steht",8403149
"diesen",8400027
"Deutschland",8386820
"will",8319378
"Am",8187706
"Auf",8176259
"wäre",8089276
"5",8050367
"nichts",8037809
"Euro",8004186
"einmal",7992648
"konnte",7977472
"erst",7953507
"allem",7866100
"daß",7824789
"Ende",7773867
"ins",7738384
"dort",7583684
"kommen",7559607
"Ihre",7463319
"10",7437476
"welche",7331221
"wirklich",7231695
"macht",7178040
"Leben",7148222
"Kinder",7123642
"wohl",7114309
"Ihr",7072390
"beiden",7071390
"liegt",7064125
"unsere",7043323
"seinem",6952360
"etwa",6767775
"Tag",6745795
"sehen",6740022
"dafür",6719921
"Unternehmen",6684470
"s",6646398
"Hier",6610451
"Stadt",6528996
"Welt",6520095
"natürlich",6483911
"allen",6474427
"möglich",6473956
"Teil",6460885
"gerade",6372717
"letzten",6359358
"Seite",6329622
"könnte",6326664
"stehen",6236431
"denen",6190441
"dies",6153787
"Frage",6148479
"Ihnen",6116928
"einige",6043352
"geben",6020541
"wollen",5979134
"Arbeit",5972739
"Hallo",5956934
"Fall",5950254
"während",5931289
"gar",5917301
"zwar",5906388
"erste",5896525
"Prozent",5892186
"gemacht",5888192
"mein",5885544
"Von",5853291
"vielen",5847597
"zusammen",5798476
"weitere",5797294
"dir",5778165
"sogar",5777803
"20",5761634
"Thema",5748424
"unserer",5735255
"davon",5718367
"gehen",5714962
"allerdings",5711807
"Doch",5688652
"Wer",5659310
"fast",5638499
"großen",5579408
"schnell",5570686
"besser",5556912
"worden",5551522
"6",5536131
"wenig",5526897
"genau",5492979
"lange",5488768
"gab",5433371
"hab",5428623
"große",5383704
"darauf",5380924
"eigenen",5364805
"jeder",5355147
"hatten",5343869
"möchte",5318669
"oft",5280375
"eigentlich",5261043
"rund",5256929
"Beispiel",5254769
"hätte",5243720
"Frau",5232588
"besonders",5223075
"deren",5212205
"lässt",5206488
"bietet",5202418
"Informationen",5143007
"zurück",5120071
"kam",5099269
"gerne",5069256
"Man",5050107
"wegen",5019318
"sagen",5007240
"ihrem",4988602
"Weg",4984985
"meiner",4964624
"Bereich",4939477
"erhalten",4895014
"gute",4890629
"sollen",4886260
"gleich",4876831
"eher",4876504
"Dann",4861877
"Platz",4861791
"weniger",4861368
"Geschichte",4811597
"richtig",4811557
"vielleicht",4786208
"sicher",4786146
"15",4757081
"findet",4746999
"Berlin",4740566
"direkt",4735107
"keinen",4730126
"werde",4723675
"später",4718526
"paar",4666332
"30",4614379
"statt",4576864
"nie",4569633
"sagt",4565772
"Art",4559014
"hin",4547863
"sieht",4547122
"sollten",4532363
"dich",4527086
"tun",4502725
"Dabei",4489198
"weiß",4488121
"vier",4484581
"jeden",4480292
"gilt",4478063
"Spiel",4454230
"ebenfalls",4442445
"hast",4433485
"ihnen",4420009
"Dies",4402957
"Um",4393158
"kleinen",4364644
"Mal",4309422
"daher",4298003
"Bild",4290625
"ging",4265840
"Problem",4263851
"zeigt",4251173
"euch",4230700
"bekommen",4220360
"nehmen",4215200
"7",4209691
"kleine",4209176
"8",4196950
"deutlich",4183843
"Zu",4167068
"Fragen",4164169
"leider",4158779
"aller",4143278
"wollte",4133079
"12",4117152
"Zum",4093244
"Kunden",4093046
"Also",4056556
"Denn",4055241
"meinen",4048216
"Wasser",4039459
"bleibt",4024686
"Rahmen",4014543
"sagte",3962835
"gehört",3961903
"Mann",3954536
"deutschen",3934971
"eben",3920808
"Liebe",3886518
"Geld",3883056
"Daten",3868446
"neben",3865695
"besten",3864997
"Ort",3863621
"Entwicklung",3862570
"Durch",3862560
"Frauen",3856801
"Ziel",3844526
"neu",3843100
"100",3842256
"Möglichkeit",3816882
"dessen",3783062
"nächsten",3777650
"ganze",3729506
"Land",3725183
"unser",3723623
"recht",3720140
"stellt",3683155
"Haus",3680596
"Familie",3679493
"darf",3674685
"verschiedenen",3668057
"stellen",3659557
"Seit",3651142
"kaum",3648336
"Grund",3646964
"wissen",3633930
"besteht",3621016
"Den",3617004
"kurz",3614191
"0",3610831
"Tage",3610172
"Damit",3595579
"unseren",3591196
"bieten",3589464
"meinem",3584009
"je",3558199
"Ist",3558000
"klar",3543733
"Millionen",3538366
"Aus",3537171
"Form",3528639
"bleiben",3513855
"gegenüber",3512992
"Wochen",3512958
"50",3497150
"14",3490085
"Verfügung",3489860
"Buch",3485370
"bekannt",3485334
"Personen",3481150
"Dieser",3467936
"Mai",3466405
"of",3464652
"Minuten",3464222
"per",3460597
"gewesen",3457766
"kannst",3448865
"Alle",3447082
"meisten",3443191
"pro",3430755
"leicht",3410548
"weiteren",3409251
"darüber",3407611
"Woche",3399643
"An",3377227
"Vor",3359645
"Hilfe",3355317
"Namen",3350183
"Anfang",3339321
"11",3329313
"weit",3326527
"Nur",3310144
"musste",3298607
"Blick",3292132
"konnten",3285518
"eigene",3273208
"bisher",3269734
"heißt",3268797
"oben",3263024
"bringen",3259852
"16",3254681
"18",3251094
"Artikel",3244029
"Hand",3202364
"halten",3201695
"überhaupt",3187997
"führt",3176308
"unserem",3174083
"deshalb",3162089
"bitte",3153799
"zweiten",3150083
"Team",3141753
"sofort",3141365
"solche",3139803
"9",3127646
"daran",3124339
"schön",3107391
"stark",3106263
"jemand",3102349
"wichtig",3091227
"fünf",3077485
"wer",3071118
"Leute",3070116
"alten",3062734
"Stunden",3062656
"Einsatz",3055414
"Preis",3052502
"März",3051311
"liegen",3042739
"Nun",3039321
"13",3036297
"führen",3035452
"Probleme",3034280
"mehrere",3025988
"anders",3018808
"Internet",3010947
"Dank",3010749
"zunächst",3009646
"würden",3006291
"Juni",3003086
"somit",3002139
"guten",2999562
"zeigen",2998305
"jedem",2988537
"Nicht",2987097
"finde",2984866
"Zukunft",2960332
"Jetzt",2940894
"innerhalb",2934590
"Eltern",2933337
"Kosten",2928762
"sowohl",2919981
"Gesellschaft",2904879
"aufgrund",2902318
"Über",2901641
"Bilder",2901036
"hinter",2893063
"Musik",2889381
"Rolle",2886419
"sonst",2870252
"gefunden",2868687
"handelt",2856739
"Weise",2846698
"verschiedene",2845120
"jede",2833576
"Seiten",2828948
"September",2820155
"Film",2820041
"USA",2814253
"April",2812623
"Außerdem",2805770
"deine",2801552
"Dieses",2799364
"hinaus",2796452
"helfen",2786115
"Deutschen",2781546
"Stelle",2769967
"gesagt",2768441
"Ihren",2760475
"Richtung",2758606
"anderem",2757592
"Ja",2756935
"insbesondere",2754732
"gemeinsam",2752299
"17",2725285
"Kind",2724437
"Mitarbeiter",2722788
"Viele",2721433
"spielen",2720052
"Oktober",2718634
"Lage",2707165
"25",2703798
"Während",2701096
"arbeiten",2697703
"meist",2697111
"lang",2685502
"warum",2682612
"jeweils",2677467
"schwer",2672164
"beispielsweise",2666291
"hoch",2661226
"Gruppe",2652198
"nutzen",2648485
"de",2646650
"damals",2644613
"beide",2644360
"Kirche",2643672
"Neben",2639851
"Ihrer",2639193
"dürfen",2639179
"gesehen",2633472
"Dazu",2629878
"Zur",2618276
"ganzen",2616485
"Raum",2612843
"m",2612123
"welches",2586329
"ebenso",2584493
"insgesamt",2576622
"einigen",2572257
"November",2570472
"Schule",2565451
"fand",2561616
"19",2556169
"40",2551637
"nämlich",2550896
"Höhe",2546953
"seien",2546458
"Juli",2537831
"fest",2534104
"Erfolg",2530299
"2019",2528505
"geworden",2517760
"km",2512388
"Beim",2508436
"scheint",2501950
"Bedeutung",2495931
"August",2495155
"2018",2487891
"Januar",2484644
"München",2481167
"A",2477544
"Augen",2467526
"lesen",2458009
"Ob",2457892
"erreichen",2454744
"Recht",2448785
"Oder",2443995
"bringt",2442106
"braucht",2440710
"Tagen",2437883
"gegeben",2434532
"stand",2433275
"befindet",2430919
"allein",2425856
"zumindest",2423879
"erklärt",2409888
"Programm",2409130
"Dezember",2408975
"Mutter",2405140
"Gott",2405105
"Antwort",2395868
"2017",2393592
"Europa",2390785
"Angebot",2390494
"suchen",2379663
"bedeutet",2377172
"System",2376666
"seines",2372193
"genug",2369575
"Titel",2367357
"Unsere",2365699
"a",2361421
"dadurch",2359568
"Unter",2358613
"Meinung",2357475
"tatsächlich",2352576
"deutsche",2349273
"weiterhin",2342301
"2016",2336641
"2012",2334942
"her",2334399
"2015",2332963
"verwendet",2330829
"The",2326126
"Meine",2322787
"aktuellen",2322078
"Auto",2321429
"nimmt",2319142
"2010",2318001
"2013",2317728
"vergangenen",2315688
"Projekt",2315477
"Kopf",2313586
"Straße",2310573
"Unterstützung",2310399
"jedes",2310288
"einzelnen",2308371
"GmbH",2306221
"leben",2305903
"Danke",2301984
"zudem",2301085
"Möglichkeiten",2291606
"Situation",2285739
"2020",2285658
"Mein",2284340
"völlig",2284248
"Person",2284066
"entwickelt",2280906
"Allerdings",2278085
"2014",2272932
"Beitrag",2271447
"schließlich",2265376
"Herr",2265230
"kaufen",2264223
"2011",2262507
"derzeit",2261906
"wobei",2255963
"endlich",2254858
"laut",2254644
"denke",2251703
"Qualität",2241728
"danach",2238046
"Bis",2235548
"Erfahrung",2234711
"Folge",2229624
"bald",2228290
"Körper",2226398
"Themen",2223879
"neues",2220356
"Ergebnis",2214810
"Kindern",2211754
"fahren",2211373
"gehören",2207810
"setzen",2207662
"Spieler",2201736
"ne",2200735
"mindestens",2190736
"geschrieben",2187149
"erreicht",2186587
"Sicherheit",2182170
"Entscheidung",2181339
"Schüler",2178291
"Mensch",2177598
"selber",2176738
"Spaß",2171757
"Dir",2171544
"hätten",2170273
"Band",2168661
"Mehr",2165260
"möchten",2164228
"Beginn",2160785
"Hause",2158845
"Gruß",2156449
"Vergleich",2155868
"Idee",2154903
"Abend",2153476
"Wert",2153012
"letzte",2151334
"Grüße",2148869
"Forum",2144185
"trotzdem",2140055
"könnten",2137430
"Vater",2137261
"the",2133512
"Februar",2132443
"21",2130853
"hohen",2128312
"halt",2126201
"Natur",2125433
"Weitere",2124439
"Regel",2123888
"frei",2123564
"welcher",2112737
"alte",2112244
"ziemlich",2111133
"Dass",2110577
"Warum",2109444
"hält",2108510
"setzt",2108239
"freuen",2106488
"00",2099505
"Polizei",2098313
"Mitte",2098070
"bekommt",2094988
"sechs",2094784
"2009",2093080
"Markt",2092416
"Dort",2091935
"läuft",2080512
"groß",2080146
"bist",2077709
"zweite",2075276
"Zudem",2073894
"gestellt",2072917
"Nacht",2067874
"trotz",2067846
"Produkte",2067693
"Lösung",2063674
"Interesse",2055960
"Vielleicht",2055855
"x",2049468
"Suche",2047444
"Hotel",2041809
"häufig",2041648
"spielt",2037685
"Erfahrungen",2033642
"zehn",2032029
"Bitte",2031471
"bevor",2028522
"Sonntag",2028442
"Region",2026504
"funktioniert",2022834
"Politik",2018153
"folgenden",2017447
"bestimmt",2012790
"Heute",2009149
"durchaus",2004300
"2008",2001101
"Michael",2000524
"Sommer",1996691
"Saison",1996501
"Dinge",1995043
"hohe",1994358
"Gemeinde",1993420
"Schritt",1991039
"Wahl",1990842
"muß",1986602
"erkennen",1985149
"Sinne",1983859
"Sache",1982817
"kennen",1977835
"anderes",1977571
"Universität",1976975
"Alles",1976311
"Wort",1969659
"entfernt",1964922
"Peter",1963961
"mag",1962738
"lernen",1946794
"indem",1946106
"Patienten",1945379
"genommen",1944488
"Sprache",1941315
"Mitglieder",1941203
"voll",1932919
"Stück",1928482
"24",1925638
"Hamburg",1924751
"Thomas",1923658
"Fehler",1922703
"versucht",1913365
"22",1911438
"Ausbildung",1907547
"all",1904450
"gleichzeitig",1901658
"knapp",1901025
"gleichen",1899448
"Nähe",1893671
"Firma",1893627
"Glück",1893572
"Männer",1889042
"verstehen",1884603
"obwohl",1883859
"online",1883289
"Samstag",1883020
"lieber",1876844
"Jahres",1874999
"Österreich",1874264
"Unser",1870662
"erfolgt",1869881
"60",1869815
"Verbindung",1859770
"dein",1859493
"darin",1859217
"vorher",1858575
"innen",1857628
"teilweise",1856636
"Nachdem",1855445
"Punkte",1853455
"Monate",1852547
"Bad",1849845
"Sohn",1849630
"unterstützt",1849081
"Deutsche",1848803
"Ihrem",1844412
"unten",1844223
"Leistung",1841094
"Alter",1837233
"Kraft",1836712
"komplett",1835433
"gebracht",1835302
"2007",1831638
"Meter",1830056
"Tod",1829018
"Zusammenhang",1828109
"Punkt",1821581
"dagegen",1820928
"fällt",1816749
"Medien",1815438
"cm",1814520
"machte",1813963
"Boden",1813178
"schreiben",1813157
"Wien",1811623
"Gäste",1811507
"Angst",1810453
"gekommen",1808386
"Aufgaben",1803856
"B",1803358
"heraus",1802263
"solchen",1800357
"I",1800250
"ihres",1797192
"Monaten",1796697
"Ab",1793605
"früher",1792854
"Maßnahmen",1791823
"glaube",1791532
"C",1790957
"lediglich",1784766
"Reihe",1783981
"Aufgabe",1782434
"Auswahl",1779770
"schaffen",1779769
"Zahl",1777746
"Fotos",1777437
"vorhanden",1777203
"nachdem",1776646
"siehe",1774121
"Menge",1770148
"Zusammenarbeit",1767037
"Gedanken",1763776
"Angaben",1760501
"Partner",1759907
"anderer",1757434
"junge",1755888
"Freitag",1751775
"sah",1750953
"Licht",1750908
"folgende",1749779
"Satz",1748722
"D",1748493
"beginnt",1744082
"Ergebnisse",1743068
"unbedingt",1740187
"Schweiz",1740087
"echt",1738566
"ließ",1738124
"Regierung",1737896
"schöne",1735249
"super",1733925
"Deshalb",1730376
"Foto",1725303
"Kontakt",1724288
"darum",1721491
"gern",1721149
"nächste",1720457
"n",1716770
"Seine",1714241
"erfolgreich",1711716
"eingesetzt",1710430
"irgendwie",1709569
"erfahren",1709253
"Leider",1704323
"mittlerweile",1703755
"zuvor",1698987
"Zitat",1697568
"Zeiten",1694141
"Natürlich",1693749
"großer",1693385
"unterstützen",1692945
"zahlreiche",1687490
"Praxis",1684341
"genannt",1681353
"wichtige",1679511
"möglichst",1672855
"Schon",1672172
"Text",1669945
"manchmal",1666994
"ziehen",1666113
"Kunst",1665910
"schlecht",1664807
"bereit",1663205
"vorbei",1663043
"Verein",1661636
"sprechen",1660964
"Sicht",1660157
"erneut",1658043
"kamen",1656050
"tragen",1655054
"zuletzt",1650888
"and",1647941
"bezeichnet",1645961
"2006",1642149
"Verfahren",1641829
"dennoch",1640250
"Klasse",1639574
"treffen",1638129
"jeweiligen",1635058
"Wissen",1633622
"Arbeiten",1632139
"Wohnung",1631491
"länger",1630865
"neuer",1629529
"Sinn",1627450
"Version",1625990
"inzwischen",1625254
"außerdem",1624099
"Name",1623764
"einzige",1620000
"23",1619903
"beste",1619161
"rein",1617684
"Leistungen",1616481
"öffentlichen",1613304
"Noch",1612329
"spricht",1611463
"Kann",1605009
"jungen",1602968
"hilft",1602704
"Essen",1602184
"Moment",1597140
"Zeitpunkt",1597132
"aktuelle",1597005
"erster",1596254
"offen",1596034
"brauchen",1595997
"Stand",1593471
"Luft",1592518
"schrieb",1587904
"dar",1587038
"zusätzlich",1587006
"egal",1582747
"Welche",1580443
"laufen",1578445
"Mitglied",1576863
